[2018-01-23 00:26:00] user name=>admin module=>salescontroller name=>:possale action =>add error name=>SQLSTATE[42S22]: Column not found: 1054 Unknown column 'currency_id' in 'field list'
[2022-08-23 17:04:05] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-23 17:06:09] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 09:57:28] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 09:59:29] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 09:59:32] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:26:31] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:47:38] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:47:43] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:51:18] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:52:06] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:53:50] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:53:54] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:57:44] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:57:47] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:57:50] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:59:48] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 10:59:55] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 11:00:12] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 11:06:29] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 11:06:32] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
[2022-08-24 11:06:35] user name=>admin module=>incomeexpensecontroller name=>:income action =>index error name=>SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_stocknew.rms_branch' doesn't exist
